Country_clean,Year,GDP,Population,GDP_per_capita,Rank_pc,Region
Afghanistan,2020,20136.0,39068979.0,515.3961151633883,190.0,Asia
Albania,2020,15271.0,2837849.0,5381.188357801983,96.0,Europe
Algeria,2020,164774.0,44042091.0,3741.284672428473,120.0,Africa
Andorra,2020,2885.0,77380.0,37283.53579736366,25.0,Europe
Angola,2020,66521.0,33451132.0,1988.6023588080666,148.0,Africa
Antigua and Barbuda,2020,1412.0,91846.0,15373.560089715393,54.0,North America
Argentina,2020,385218.0,45191965.0,8524.037403551716,73.0,South America
Armenia,2020,12642.0,2961500.0,4268.782711463785,111.0,Asia
Aruba,2020,2486.0,108587.0,22894.084927293323,41.0,North America
Australia,2020,1362613.0,25649248.0,53124.871341257254,10.0,Oceania
Austria,2020,434050.0,8916864.0,48677.42740048519,14.0,Europe
Azerbaijan,2020,42693.0,10093121.0,4229.910649045028,112.0,Asia
Bahamas,2020,9958.0,395863.0,25155.167317986274,36.0,North America
Bahrain,2020,35838.0,1472204.0,24343.09375602838,37.0,Asia
Bangladesh,2020,373902.0,166298024.0,2248.3851040827763,139.0,Asia
Barbados,2020,5168.0,281698.0,18345.888149720624,47.0,North America
Belarus,2020,61312.0,9379952.0,6536.494003380828,88.0,Europe
Belgium,2020,529269.0,11538604.0,45869.41366563927,17.0,Europe
Belize,2020,2043.0,390812.0,5227.577454121163,99.0,North America
Benin,2020,15674.0,13070169.0,1199.2193827027027,165.0,Africa
Bhutan,2020,2586.0,770006.0,3358.415388970995,128.0,Asia
Bolivia,2020,36897.0,11816299.0,3122.5513166178343,133.0,South America
Bosnia and Herzegovina,2020,20226.0,3299349.0,6130.300250140255,91.0,Europe
Botswana,2020,14930.0,2365894.0,6310.510952730765,89.0,Africa
Brazil,2020,1476092.0,208660842.0,7074.120787838094,82.0,South America
Brunei,2020,12006.0,447404.0,26834.807020053464,33.0,Asia
Bulgaria,2020,70658.0,6550696.0,10786.334765038708,63.0,Europe
Burkina Faso,2020,17837.0,21478690.0,830.4510191263993,176.0,Africa
Burundi,2020,3089.0,12617036.0,244.82770755350148,195.0,Africa
Cape Verde,2020,1831.0,514679.0,3557.5572347035727,121.0,Africa
Cambodia,2020,34898.0,16725474.0,2086.517846968044,144.0,Asia
Cameroon,2020,40863.0,26210558.0,1559.028235873498,157.0,Africa
Canada,2020,1655685.0,38028638.0,43537.846398811336,20.0,North America
Central African Republic,2020,2389.0,5026628.0,475.2689079040661,192.0,Africa
Chad,2020,14954.0,17224679.0,868.1729279251009,171.0,Africa
Chile,2020,254060.0,19370624.0,13115.736488406363,60.0,South America
China,2020,15103357.0,1411100000.0,10703.250655516973,65.0,Asia
Colombia,2020,270348.0,50629997.0,5339.68034799607,98.0,South America
Comoros,2020,1218.0,802163.0,1518.394640490773,158.0,Africa
Democratic Republic of the Congo,2020,49613.0,95989998.0,516.85593326088,189.0,Africa
Republic of the Congo,2020,11485.0,5752791.0,1996.4222583438195,147.0,Africa
Costa Rica,2020,62382.0,5034320.0,12391.345802412243,62.0,North America
Ivory Coast,2020,63119.0,28915449.0,2182.8815454326855,143.0,Africa
Croatia,2020,57919.0,3914206.0,14797.126160452464,56.0,Europe
Cyprus,2020,25535.0,1302247.0,19608.41530063037,45.0,Asia
Czech Republic,2020,251110.0,10697858.0,23472.92327118195,39.0,Europe
Denmark,2020,355631.0,5831404.0,60985.48479920102,7.0,Europe
Djibouti,2020,3144.0,1105188.0,2844.7648725827644,135.0,Africa
Dominica,2020,504.0,67573.0,7458.6003285335855,79.0,North America
Dominican Republic,2020,78625.0,11008300.0,7142.33805401379,81.0,North America
Ecuador,2020,95865.0,17546065.0,5463.618195874687,95.0,South America
Egypt,2020,382525.0,109315124.0,3499.287070286816,125.0,Africa
El Salvador,2020,24921.0,6234673.0,3997.162321103288,116.0,North America
Equatorial Guinea,2020,9908.0,1716468.0,5772.318505209535,92.0,Africa
Eritrea,2020,1982.0,3291271.0,602.1989681190032,184.0,Africa
Estonia,2020,31795.0,1329522.0,23914.609912434695,38.0,Europe
Eswatini,2020,3984.0,1192729.0,3340.2390652025733,129.0,Africa
Ethiopia,2020,96611.0,118917671.0,812.4192072345581,177.0,Africa
Fiji,2020,4432.0,914963.0,4843.911721020413,102.0,Oceania
Finland,2020,269784.0,5529543.0,48789.565430633236,13.0,Europe
